NumOfProducts,HasCrCard,IsActiveMember,Gender_Male,Geography_Germany,Geography_Spain,normalizedCreditScore,normalizedAge,normalizedTenure,normalizedBalance,normalizedEstimatedSalary,Exited
1,1,1,0,0,0,-0.8696043452842543,-0.27851833687642724,1.3306094182379902,1.5568423955811512,-0.8494113809480461,1
1,1,0,0,0,0,1.542115205144261,2.247992400782223,-1.2718633253555005,0.49556915311152444,-1.0833907757098278,1
2,1,1,1,0,1,-0.06730813962455422,-0.18317033060989152,1.3784258365518056,-1.2256990433614838,-0.06370741394410888,0
1,1,1,1,0,1,0.6157814169362025,-0.373866343142963,-1.387626641362796,0.4814927384210347,0.4841748725540791,0
1,0,1,1,0,0,-1.1333418415299776,-0.18317033060989152,1.3784258365518056,2.177096706834136,0.8469391098579038,0
1,1,0,1,1,0,0.18108806276117548,1.6284417884542877,1.3784258365518056,0.5532187083768493,0.5962385305462409,1
1,1,0,1,0,0,0.4708836322111935,1.2470497633881445,0.34115615733383,1.0145975443196924,-1.2634454613042165,1
2,1,1,0,0,0,0.015490594504022353,3.9167939388511455,-0.35035696214482037,-1.2256990433614838,1.5387879589246531,0
1,0,0,0,0,0,0.27423663865582415,1.6284417884542877,-1.733383201102121,0.696977088021848,1.0123235237478876,1
1,1,0,0,0,0,-0.19150624081741907,0.10287368818971572,1.3784258365518056,1.0121017914284658,-0.11134920069918584,1
2,1,1,0,0,1,0.13840576768612584,1.7131639954580655,-0.9979808444502962,1.993386255665258,0.934810486178492,1
2,1,1,0,0,0,1.423069074689824,0.38891770698932293,1.7241823962911307,-1.2256990433614838,0.27829398357413854,0
1,0,1,0,0,0,0.2373878374845078,-0.053377933212061274,-0.35035696214482037,0.2633763333773696,1.4313981163772738,1
1,0,1,1,0,1,0.7606792016612115,0.5796137195223945,-0.004600402405495207,0.11879791429183373,-1.1473550559939996,0
2,1,1,1,0,0,0.7917287269594276,-0.46921434940949874,1.7241823962911307,-1.2256990433614838,1.7132653309392765,0
1,1,0,0,0,0,1.112573821707662,-0.8506063744756417,-0.6961135218841455,1.0434467937370158,0.9762116440622014,0
2,1,1,0,0,0,-1.4748866198103558,-0.755258368209106,0.6869127170731552,-1.2256990433614838,-1.6341999003853664,0
1,1,0,0,0,1,0.005140752737950283,0.5796137195223945,1.0326692768124803,0.3116748007807961,-0.2664608706214952,1
2,1,1,1,0,0,0.6054315751701304,-0.08782232434335577,-0.004600402405495207,-1.2256990433614838,-0.3243656639813569,0
1,1,1,1,1,0,1.3270849788980794,2.259480113242368,-1.1791201938782272,0.8819785760993744,-0.5177836554045825,1
2,1,1,1,0,0,-2.1269266510728966,-0.18317033060989152,-0.6961135218841455,-1.2256990433614838,1.3894119435076286,0
2,1,0,0,0,0,0.9366265116844367,-0.373866343142963,-1.387626641362796,-1.2256990433614838,-1.1050020483401393,0
3,1,0,0,1,0,-0.5537507026299415,0.007525681923179976,1.0326692768124803,1.379233260274783,-1.1138020161706723,1
1,0,0,0,0,1,0.09882251823284817,-1.6725761098758225,1.2711145265133073,-1.2256990433614838,-1.1517260435771464,1
3,1,0,0,1,0,-0.478757857133694,0.8098833747949553,0.4781583683014592,0.882070424182242,-1.2961488065960638,1
2,1,0,0,0,1,1.9405611629934276,0.007525681923179976,-0.004600402405495207,1.4465759560318978,-1.4923771225859694,0
1,1,0,0,1,0,0.22521391753385533,-0.3409113036690963,-1.733383201102121,0.9237110429396949,-0.28647258468512865,1
1,0,1,0,1,0,-0.46060212673529294,-1.136650393275249,0.34115615733383,1.5359500979543523,0.19722017850594095,0
3,0,1,0,1,0,-0.5434008608638695,1.056353750855073,-0.004600402405495207,0.19078031917097002,-0.6250945533635954,1
1,0,1,1,0,0,0.33633568925225654,3.1540098887188597,-0.6961135218841455,1.0340898039286683,-0.8212472951717912,0
2,1,1,0,0,1,0.025840436270094424,-1.136650393275249,0.34115615733383,0.5012568190487313,-1.1600899617210518,0
1,1,0,0,1,0,1.472021081514095,-0.9333036973362216,-0.3350654108963431,0.502659173196752,-1.4087953713360957,1
2,1,1,0,0,0,0.2845864804218962,0.8656577383220017,-1.0418700816234707,-1.2256990433614838,-1.1790002682167693,0
3,1,0,1,0,0,-0.019941161416747927,0.3610297933489599,-1.0977307510959522,-1.2256990433614838,-0.03787074828391329,1
2,1,0,0,0,1,-0.07765798139062628,0.5796137195223945,1.3784258365518056,1.1918416770674944,0.9634711741277833,0
1,0,0,1,0,1,1.9819605300577159,0.6749617257889302,1.3784258365518056,-1.2256990433614838,-1.4404112511817253,0
2,1,0,1,0,1,0.46053379044512144,-0.373866343142963,0.6869127170731552,-1.2256990433614838,1.0481797976577065,0
2,1,1,0,1,0,0.5526304479529343,1.9955439288876091,-0.039146283633500034,0.9754432415818084,-0.9979384133451676,1
2,0,0,0,0,1,1.1305772160825989,1.3596814229246212,-0.14240484862171435,0.7432422615308423,1.389246244673984,1
1,0,1,1,1,0,0.0672398033343827,0.10287368818971572,0.6869127170731552,0.3636499926705614,0.3343262472739198,1
1,0,0,0,0,1,-1.3530479156316622,-0.19190232695875853,-1.387626641362796,-1.2256990433614838,0.5983666354542788,1
1,1,0,1,0,0,-2.4063723787568425,-0.46921434940949874,1.0326692768124803,1.2741228290108766,0.9407380832902634,0
1,0,1,1,0,1,-1.0505431074014009,-1.3273464058083204,0.34115615733383,1.8813017474038387,-1.365084229033544,0
3,1,0,0,0,1,0.08608179171073536,0.28868004685916626,-0.0164211697496016,-1.2256990433614838,1.5315424397276853,1
1,1,0,0,0,0,0.4708836322111935,-1.3273464058083204,1.0326692768124803,0.8008194485899294,0.37902230787323304,0
1,0,0,0,0,0,0.7923198293145073,0.6790482017315471,-1.0344607716719492,0.5200710865962823,-1.3877383897544049,1
